DKW1;Other RES;380
DKW1;Battery;1319
HU00;Solar PV;7000
HU00;Run-of-River;57
HU00;Other RES;404
HU00;Battery;1261
PL00;Offshore Wind;10320
PL00;Onshore Wind;7700
PL00;Solar PV;20156
PL00;Reservoir;183
PL00;Run-of-River;536
PL00;PS Closed;1323
PL00;PS Open;178
PL00;Other RES;2332
PL00;Battery;2000
PT00;Offshore Wind;528
PT00;Onshore Wind;12926
PT00;Solar PV;14233
PT00;Solar Thermal;642
PT00;Reservoir;3765
PT00;Run-of-River;997
PT00;PS Closed;555
PT00;PS Open;3832
PT00;Other RES;1211
PT00;Battery;1594
SK00;Onshore Wind;200
SK00;Solar PV;804
SK00;Run-of-River;1547
SK00;PS Closed;649
SK00;PS Open;276
SK00;Other RES;319
SK00;Battery;1049
TR00;Onshore Wind;23000
TR00;Solar PV;22000
TR00;Reservoir;29239
TR00;Run-of-River;10716
TR00;Other RES;2300
DEKF;Offshore Wind;650
DKKF;Offshore Wind;600
EL03;Offshore Wind;212
EL03;Onshore Wind;716
EL03;Solar PV;477
EL03;Solar Thermal;70
EL03;Battery;86
SE03;Offshore Wind;1770
SE03;Onshore Wind;5753
SE03;Solar PV;5110
SE03;Reservoir;2911
SE03;Other RES;2633
SE03;Battery;2812
SE04;Offshore Wind;760
SE04;Onshore Wind;4091
SE04;Solar PV;1900
SE04;Reservoir;349
SE04;Other RES;701
SE04;Battery;756
AL00;Onshore Wind;1588
AL00;Solar PV;1775
AL00;Reservoir;2402
AL00;Run-of-River;468
AL00;Battery;290
BA00;Onshore Wind;2081
BA00;Solar PV;400
BA00;Reservoir;680
BA00;Run-of-River;1140
BA00;PS Open;440
BA00;Battery;381
BG00;Onshore Wind;1200
BG00;Solar PV;1800
BG00;Reservoir;1483
BG00;Run-of-River;495
BG00;PS Closed;864
BG00;PS Open;535
BG00;Other RES;140
BG00;Battery;1156
CY00;Onshore Wind;175
CY00;Solar PV;1200
CY00;Solar Thermal;120
CY00;Other RES;15
CY00;Battery;150
FR15;Onshore Wind;412
FR15;Solar PV;461
FR15;Reservoir;194
FR15;Run-of-River;38
FR15;Other RES;9
FR15;Battery;75
EL00;Onshore Wind;6599
EL00;Solar PV;7649
EL00;Reservoir;2721
EL00;Run-of-River;444
EL00;PS Open;1445
EL00;Other RES;525
EL00;Battery;1516
ME00;Onshore Wind;703
ME00;Solar PV;786
ME00;Reservoir;1139
ME00;Run-of-River;132
ME00;Other RES;49
ME00;Battery;128
MK00;Onshore Wind;499
MK00;Solar PV;873
MK00;Reservoir;816
MK00;Run-of-River;411
MK00;Other RES;30
MK00;Battery;150
MT00;Onshore Wind;468
MT00;Solar PV;523
MT00;Battery;85
RO00;Onshore Wind;6500
RO00;Solar PV;5000
RO00;Reservoir;2621
RO00;Run-of-River;3432
RO00;PS Open;746
RO00;Other RES;500
RO00;Battery;1882
RS00;Onshore Wind;3360
RS00;Solar PV;911
RS00;Reservoir;454
RS00;Run-of-River;2664
RS00;PS Open;814
RS00;Other RES;397
RS00;Battery;692
SE01;Onshore Wind;5466
SE01;Solar PV;20
SE01;Reservoir;5315
SE01;Other RES;276
SE01;Battery;340
SE02;Onshore Wind;7956
SE02;Solar PV;340
SE02;Reservoir;8055
SE02;Other RES;575
SE02;Battery;591
UA01;Onshore Wind;200
UA01;Solar Thermal;230
UA01;Other RES;40
LUV1;PS Closed;1310
LUB1;Battery;15
LUF1;Battery;26
