UKNI;Gas CCGT old 2;593;1;GAS
UKNI;Gas CCGT new;408;1;GAS
UKNI;Lignite old 1 Bio;18;1;BIO
UKNI;Gas OCGT new;100;1;GAS
UKNI;Gas OCGT old;12;1;GAS
UKNI;Light oil -;194;1;OIL
AT00;Hard coal old 2;953;1;COAL
AT00;Gas CCGT new;691.5;2;GAS
AT00;Gas conventional old 1;240;1;GAS
CH00;Hard coal old 2;889;1;COAL
CZ00;Hard coal old 2;612.5;2;COAL
CZ00;Gas CCGT old 1;66;1;GAS
CZ00;Gas CCGT old 2;396;1;GAS
CZ00;Gas CCGT new;50;1;GAS
CZ00;Gas CCGT new;418;2;GAS
CZ00;Lignite New;600;1;LIGNITE
CZ00;Lignite old 1;723;2;LIGNITE
CZ00;Nuclear -;1347;3;NUC
DKE1;Hard coal old 2;57;1;COAL
DKE1;Gas conventional old 2 Bio;520;1;BIO
DKE1;Hard coal old 2 Bio;320;1;BIO
DKE1;Heavy oil old 1 Bio;212;1;BIO
DKE1;Hard coal old 2;103;1;COAL
DKW1;Hard coal old 2;184;1;COAL
DKW1;Gas CCGT old 2 Bio;430;1;BIO
DKW1;Hard coal old 2 Bio;447;1;BIO
DKW1;Heavy oil old 1 Bio;200;1;BIO
DKW1;Hard coal old 2;153;1;COAL
HU00;Hard coal old 2;454;1;COAL
HU00;Gas CCGT new;427;1;GAS
HU00;Hard coal old 1 Bio;165;1;BIO
HU00;Nuclear -;1200;2;NUC
PL00;Hard coal old 2;775.9;10;COAL
PL00;Gas CCGT new;555.666666666667;9;GAS
PL00;Lignite New;451;1;LIGNITE
PL00;Lignite old 1;237;1;LIGNITE
PL00;Hard coal New;741.666666666667;6;COAL
PL00;Hard coal old 1;563;1;COAL
PL00;Hard coal old 2;618;2;COAL
PL00;Gas OCGT new;555.555555555556;9;GAS
PL00;Nuclear -;1500;3;NUC
PT00;Hard coal old 2;776;1;COAL
PT00;Gas CCGT new;567.8;5;GAS
SK00;Hard coal old 2;173;1;COAL
SK00;Gas CCGT old 1;56;1;GAS
SK00;Gas CCGT old 2;126;1;GAS
SK00;Gas CCGT new;411;1;GAS
SK00;Gas conventional old 1;16;1;GAS
SK00;Gas conventional old 2;74;1;GAS
SK00;Hard coal new Bio;180;1;BIO
SK00;Hard coal old 2 Bio;40;1;BIO
SK00;Lignite old 1 Bio;51;1;BIO
SK00;Nuclear -;1145;2;NUC
TR00;Hard coal old 2;666.666666666667;3;COAL
TR00;Gas CCGT new;636;1;GAS
TR00;Gas CCGT old 1;579.6;5;GAS
TR00;Gas CCGT old 2;595;12;GAS
TR00;Gas conventional old 1;570;2;GAS
TR00;Gas conventional old 2;320;1;GAS
TR00;Lignite New;765;8;LIGNITE
TR00;Lignite old 1;766.666666666667;9;LIGNITE
TR00;Lignite old 2;840;1;LIGNITE
TR00;Hard coal New;768;10;COAL
TR00;Hard coal old 1;840;1;COAL
TR00;Hard coal old 2;320;1;COAL
TR00;Gas OCGT old;588.333333333333;24;GAS
TR00;Nuclear -;1533.33333333333;6;NUC
TR00;Oil shale new;119;1;OIL
EL03;Heavy oil old 2;98;1;OIL
EL03;Light oil -;500;2;OIL
AL00;Gas CCGT new;200;1;GAS
AL00;Gas CCGT old 2;100;1;GAS
BG00;Gas CCGT new;604;1;GAS
